id,resourcePath
campus,UI/Module/Narrative/Atlas/LastLight/Backgrounds/rooftop_dusk
evening,UI/Module/Narrative/Atlas/LastLight/Backgrounds/rooftop_dusk
lastlight_rooftop,UI/Module/Narrative/Atlas/LastLight/Backgrounds/rooftop_dusk
lastlight_rooftop_night,UI/Module/Narrative/Atlas/LastLight/Backgrounds/rooftop_night
客厅_default,UI/Module/Narrative/Atlas/CMH/Backgrounds/客厅_default
房间_default,UI/Module/Narrative/Atlas/CMH/Backgrounds/房间_default
教室_default,UI/Module/Narrative/Atlas/CMH/Backgrounds/教室_default
村庄_default,UI/Module/Narrative/Atlas/CMH/Backgrounds/村庄_default
森林_default,UI/Module/Narrative/Atlas/CMH/Backgrounds/森林_default
游戏厅_default,UI/Module/Narrative/Atlas/CMH/Backgrounds/游戏厅_default
菜地_default,UI/Module/Narrative/Atlas/CMH/Backgrounds/菜地_default
道观_default,UI/Module/Narrative/Atlas/CMH/Backgrounds/道观_default
